label, x, y, z
E1, 5.520863, -5.787678, -2.577469
E2, 6.709098, -5.291805, 0.307435
E3, 7.634241, -3.864122, 3.067770
E4, 7.145709, -2.868838, 4.989565
E5, 5.686621, -1.479340, 6.812878
E6, 3.806770, -0.000000, 7.891305
E7, 1.558864, 1.223800, 8.440439
E8, 7.998817, -4.221902, -1.354790
Fp2, 8.884820, -2.695406, 1.088308
E10, 8.708839, -1.830882, 3.187091
Fz, 7.962647, -0.000000, 5.044718
E12, 5.686621, 1.479340, 6.812878
E13, 3.254307, 2.435871, 7.608766
E14, 9.479016, -1.270448, -0.947183
E15, 9.087441, -0.000000, 1.333345
E16, 9.076491, -0.000000, 3.105438
E17, 9.271140, -0.000000, -2.211516
E18, 8.708839, 1.830882, 3.187091
E19, 7.145709, 2.868838, 4.989565
E20, 5.121649, 3.825797, 5.942845
E21, 9.479016, 1.270448, -0.947183
Fp1, 8.884820, 2.695406, 1.088308
E23, 7.634241, 3.864122, 3.067770
F3, 6.021160, 4.459387, 4.365321
E25, 7.998817, 4.221902, -1.354790
E26, 6.709098, 5.291805, 0.307435
E27, 5.453384, 5.682548, 2.836565
E28, 4.157848, 5.546670, 4.627616
E29, 2.697832, 4.762197, 6.297663
E30, 0.960411, 3.695491, 7.627828
E31, -0.684382, 1.955188, 8.564859
E32, 5.520863, 5.787678, -2.577469
F7, 4.127249, 6.399087, -0.356852
E34, 2.968422, 6.823960, 2.430080
E35, 1.490028, 6.414470, 4.741795
C3, 0.284949, 5.479130, 6.383328
E37, -1.519050, 3.909903, 7.764135
E38, 3.611543, 6.550733, -3.353156
E39, 0.850096, 7.191620, -0.882937
E40, 0.032152, 7.391919, 2.143635
E41, -0.800954, 6.905052, 4.600057
E42, -2.338984, 5.956055, 6.003614
E43, 2.417299, 6.518995, -5.253637
E44, 1.278489, 6.840718, -3.555382
T7, -1.866238, 7.304625, -0.629182
E46, -2.298574, 7.312518, 2.385299
E47, -3.011820, 6.737314, 4.178390
E48, 2.226978, 5.934584, -7.934361
E49, 0.416635, 6.298127, -6.069156
E50, -4.023512, 6.782481, -0.232191
E51, -4.667036, 6.558030, 2.749990
P3, -4.494822, 5.831241, 4.955348
E53, -4.037020, 4.193519, 6.982920
E54, -3.414836, 2.270752, 8.204557
E55, -2.138344, -0.000000, 8.791876
E56, -2.458139, 6.174969, -5.637381
LM, -3.739554, 6.580438, -2.991084
P7, -5.755782, 6.034747, 0.051843
E59, -6.437833, 5.204502, 2.984444
E60, -6.061561, 4.116930, 5.365757
E61, -5.481057, 2.344915, 7.057749
Pz, -6.676694, -0.000000, 6.465208
E63, -4.302240, 5.333266, -5.613510
E64, -5.870303, 5.404091, -2.891640
E65, -7.280552, 4.645302, 0.130140
E66, -7.665488, 3.608293, 3.129932
E67, -7.354417, 1.844644, 5.224002
E68, -6.401014, 3.784984, -5.260041
E69, -7.603011, 3.528848, -2.818038
O1, -8.607967, 2.738838, 0.239368
E71, -8.437487, 1.404967, 3.277285
E72, -7.829897, -0.000000, 4.687622
E73, -7.497198, 1.929652, -5.136778
E74, -8.455209, 1.125731, -2.632832
Oz, -8.996686, -0.000000, 0.487952
E76, -8.437487, -1.404967, 3.277285
E77, -7.354417, -1.844644, 5.224002
E78, -5.481057, -2.344915, 7.057749
E79, -3.414836, -2.270752, 8.204557
E80, -0.684382, -1.955188, 8.564859
E81, -7.858919, -0.000000, -4.945387
E82, -8.455209, -1.125731, -2.632832
O2, -8.607967, -2.738838, 0.239368
E84, -7.665488, -3.608293, 3.129932
E85, -6.061561, -4.116930, 5.365757
E86, -4.037020, -4.193519, 6.982920
E87, -1.519050, -3.909903, 7.764135
E88, -7.497198, -1.929652, -5.136778
E89, -7.603011, -3.528848, -2.818038
E90, -7.280552, -4.645302, 0.130140
E91, -6.437833, -5.204502, 2.984444
P4, -4.494822, -5.831241, 4.955348
E93, -2.338984, -5.956055, 6.003614
E94, -6.401014, -3.784984, -5.260041
E95, -5.870303, -5.404091, -2.891640
P8, -5.755782, -6.034747, 0.051843
E97, -4.667036, -6.558030, 2.749990
E98, -3.011820, -6.737314, 4.178390
E99, -4.302240, -5.333266, -5.613510
RM, -3.739554, -6.580438, -2.991084
E101, -4.023512, -6.782481, -0.232191
E102, -2.298574, -7.312518, 2.385299
E103, -0.800954, -6.905052, 4.600057
C4, 0.284949, -5.479130, 6.383328
E105, 0.960411, -3.695491, 7.627828
E106, 1.558864, -1.223800, 8.440439
E107, -2.458139, -6.174969, -5.637381
T8, -1.866238, -7.304625, -0.629182
E109, 0.032152, -7.391919, 2.143635
E110, 1.490028, -6.414470, 4.741795
E111, 2.697832, -4.762197, 6.297663
E112, 3.254307, -2.435871, 7.608766
E113, 0.416635, -6.298127, -6.069156
E114, 1.278489, -6.840718, -3.555382
E115, 0.850096, -7.191620, -0.882937
E116, 2.968422, -6.823960, 2.430080
E117, 4.157848, -5.546670, 4.627616
E118, 5.121649, -3.825797, 5.942845
E119, 2.226978, -5.934584, -7.934361
E120, 2.417299, -6.518995, -5.253637
E121, 3.611543, -6.550733, -3.353156
F8, 4.127249, -6.399087, -0.356852
E123, 5.453384, -5.682548, 2.836565
F4, 6.021160, -4.459387, 4.365321
E125, 4.523870, -6.118458, -4.409174
E126, 6.649205, -3.743505, -6.530243
E127, 6.649205, 3.743505, -6.530243
E128, 4.523870, 6.118458, -4.409174
Cz, 0.000000, 0.000000, 8.899187

