bp_label,egi_nearest_1,egi_nearest_2,egi_nearest_3,egi_nearest_4,egi_nearest_5,egi_nearest_6,egi_nearest_7,egi_nearest_8,egi_nearest_9,egi_nearest_10,egi_nearest_11,egi_nearest_12,egi_nearest_13,egi_nearest_14,egi_nearest_15,egi_nearest_16,egi_nearest_17,egi_nearest_18,egi_nearest_19,egi_nearest_20
Fp1,E21,E17,E25,Fp1,E14,E127,E15,E26,E32,E18,E23,E128,E16,Fp2,F7,E38,E8,E10,E27,E126
Fp2,E14,E17,E8,Fp2,E21,E126,E15,E2,E1,E10,E3,E125,E16,Fp1,F8,E121,E25,E18,E123,E127
F7,E32,E128,E38,E25,F7,E26,E43,E127,E44,E39,E48,E49,E27,Fp1,E34,E21,E23,E17,T7,F3
F3,E23,F3,E27,E19,E26,Fp1,E18,E28,E20,E25,E34,F7,E12,E29,E16,Fz,E15,E21,E35,E32
Fz,Fz,E5,E12,E16,E4,E19,E10,E18,E6,E15,E20,E118,E13,E112,E3,E23,F3,F4,Fp1,Fp2
F4,E3,F4,E123,E4,E2,Fp2,E10,E117,E118,E8,E116,F8,E5,E111,E16,Fz,E15,E14,E110,E1
F8,E1,E125,E121,E8,F8,E2,E120,E126,E114,E115,E119,E113,E123,Fp2,E116,E14,E3,E17,T8,F4
FC5,F7,E34,E27,E39,E26,E40,E32,E28,E38,E35,F3,E44,E25,E23,T7,E128,E41,E46,E29,E20
FC1,E13,E20,E12,E29,E30,E7,E6,E19,F3,E28,C3,E31,E5,Fz,Cz,E35,E37,E23,E106,E27
FC2,E112,E118,E5,E111,E105,E106,E6,E4,F4,E117,C4,E80,E12,Fz,Cz,E110,E87,E3,E7,E123
FC6,F8,E116,E123,E115,E2,E109,E1,E117,E121,E110,F4,E114,E8,E3,T8,E125,E103,E102,E111,E118
T7,E44,E43,E39,E49,E38,T7,E56,LM,E128,F7,E48,E32,E50,E63,E40,E64,E34,E46,P7,E26
C3,C3,E35,E41,E29,E42,E30,E28,E47,E37,E40,E34,E46,P3,E20,E53,E13,E27,F3,E31,E51
Cz,Cz,E7,E106,E55,E31,E80,E6,E13,E112,E30,E105,E54,E79,E37,E87,E5,E12,E61,E78,E29
C4,C4,E110,E103,E111,E93,E105,E117,E98,E87,E109,E116,E102,P4,E118,E86,E112,E123,F4,E80,E97
T8,E114,E120,E115,E113,E121,T8,E107,RM,E125,F8,E119,E1,E101,E99,E109,E95,E116,E102,P8,E2
TP9,E56,E49,E63,E48,E43,LM,E44,E68,E64,E38,E128,E73,T7,E39,E69,E50,E127,P7,E32,E81
CP5,E50,E46,T7,E51,E40,P7,E47,E39,LM,E41,E59,P3,E65,E64,E42,E34,E35,E44,E66,E60
CP1,E54,E53,E37,E61,E31,E60,E55,E42,E30,P3,C3,E67,Pz,Cz,E7,E47,E41,E59,E66,E29
CP2,E79,E86,E87,E78,E80,E85,E55,E93,E105,P4,C4,E77,Pz,Cz,E106,E98,E103,E91,E84,E111
CP6,E101,E102,T8,E97,E109,P8,E98,E115,RM,E103,E91,P4,E90,E95,E93,E116,E110,E114,E84,E85
TP10,E107,E113,E99,E119,E120,RM,E114,E94,E95,E121,E125,E88,T8,E115,E89,E101,E126,P8,E1,E81
P7,E64,LM,E63,E56,E68,E50,P7,E69,T7,E65,E73,E49,E44,O1,E39,E51,E74,E46,E59,E43
P3,E59,E66,E60,E51,P3,E65,P7,E67,E71,O1,E47,E53,E50,E61,E46,E42,E72,E41,E64,E69
Pz,Pz,E72,E77,E67,E78,E61,E71,E76,E54,E79,E60,E85,E66,E84,E55,E53,E86,Oz,E31,E80
P4,E91,E84,E85,E97,P4,E90,P8,E77,E76,O2,E98,E86,E101,E78,E102,E93,E72,E103,E95,E89
P8,E95,RM,E99,E107,E94,E101,P8,E89,T8,E90,E88,E113,E114,O2,E115,E97,E82,E102,E91,E120
PO9,E68,E63,E73,E56,E69,E64,E81,LM,E74,E49,E88,E82,E65,P7,O1,E48,E50,E44,E43,E94
O1,E74,E69,E73,O1,E81,E68,E82,E65,Oz,E64,E88,P7,E63,E71,E66,O2,LM,E89,E59,E50
Oz,E74,E82,E81,Oz,E73,E88,E69,E89,O1,O2,E68,E94,E71,E76,E65,E90,E64,E95,E66,E84
O2,E82,E89,E88,O2,E81,E94,E74,E90,Oz,E95,E73,P8,E99,E76,E84,O1,RM,E69,E91,E101
PO10,E94,E99,E88,E107,E89,E95,E81,RM,E82,E113,E73,E74,E90,P8,O2,E119,E101,E114,E120,E68
AF7,E25,E32,E127,E26,E128,E21,Fp1,E38,E17,F7,E43,E23,E27,E15,E44,E14,E18,E48,E39,F3
AF3,Fp1,E21,E25,E18,E23,E15,E26,E17,E16,E14,E19,F3,E27,E32,Fz,E10,F7,Fp2,E20,E28
AF4,Fp2,E14,E8,E10,E3,E15,E2,E17,E16,E21,E4,F4,E123,E1,Fz,E18,F8,Fp1,E118,E117
AF8,E8,E1,E126,E2,E125,E14,Fp2,E121,E17,F8,E120,E3,E123,E15,E21,E114,E10,E119,E115,F4
F5,E26,F7,E25,E32,E27,E23,Fp1,E34,E38,F3,E128,E28,E39,E18,E21,E19,E44,E20,E43,E40
F1,E19,E18,E12,E23,Fz,F3,E20,E16,Fp1,E13,E28,E27,E15,E5,E6,E29,E10,E26,E4,E21
